,pitcher,batter,ballCount,type,speed,stance,crossPlateX,crossPlateY,topSz,bottomSz,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,strike,ball,out,base1,base2,base3,target,event_order,totalBallCount
321,50662,78513,2,커터,139.0,R,1.38198,0.7083,3.407,1.671,-126.055,-4.30461,6.51245,6.27206,50.0,-1.47169,2.30473,26.5814,-26.2098,1,0,0,0,0,0,B,322,2
322,50662,78513,3,직구,145.0,R,0.286315,0.7083,3.407,1.671,-131.636,-3.41603,4.26802,6.42656,50.0,-1.28034,-1.25239,25.7944,-16.7924,1,1,0,0,0,0,B,323,3
323,50662,78513,4,직구,146.0,R,-0.144658,0.7083,3.407,1.671,-133.29,-5.50904,4.41548,6.31469,50.0,-1.31805,-7.14574,30.3125,-17.333,1,2,0,0,0,0,1H,324,4
324,50662,51560,1,커터,137.0,R,-0.51818,0.7083,3.367,1.651,-124.651,2.29952,2.48365,6.63653,50.0,-1.79133,2.95502,23.9958,-23.3186,0,0,0,5,0,0,B,325,5
325,50662,51560,2,커터,136.0,R,0.718601,0.7083,3.367,1.651,-124.257,0.599389,5.69952,6.54529,50.0,-1.58553,-0.619817,24.5217,-27.6922,0,1,0,5,0,0,B,326,6
326,50662,51560,3,직구,143.0,R,-0.439932,0.7083,3.367,1.651,-130.566,-4.94691,3.73698,6.26911,50.0,-1.52858,-4.91402,25.7342,-18.4519,0,2,0,5,0,0,HO,327,7
327,50662,52591,1,직구,145.0,R,-0.625441,0.7083,3.522,1.728,-131.709,-6.97541,3.64856,6.31444,50.0,-1.4792,-7.46923,24.8071,-15.6261,0,0,1,5,0,0,T,328,8
328,50662,52591,2,슬라이더,133.0,R,0.148321,0.7083,3.522,1.728,-121.185,-5.12797,3.07244,6.44348,50.0,-1.61958,5.30759,20.459,-25.6271,1,0,1,5,0,0,HO,329,9
329,50662,62802,1,직구,147.0,L,-1.29195,0.7083,3.442,1.689,-133.505,-2.38513,3.5873,6.34801,50.0,-1.80707,-11.6923,27.441,-23.5202,0,0,2,5,0,0,B,330,10
330,50662,62802,2,직구,144.0,L,-0.319255,0.7083,3.442,1.689,-131.214,-3.7805,5.67676,6.3322,50.0,-1.59944,-12.276,24.4508,-19.6304,0,1,2,5,0,0,F,331,11
331,50662,62802,3,직구,145.0,L,-0.683633,0.7083,3.442,1.689,-132.176,-5.38898,4.12834,6.17403,50.0,-1.74205,-7.18508,23.3877,-21.119,1,1,2,5,0,0,S,332,12
332,50662,62802,4,포크,129.0,L,-1.01368,0.7083,3.442,1.689,-117.806,-0.919548,2.22177,6.47842,50.0,-1.87244,-1.16163,22.1148,-29.7194,2,1,2,5,0,0,B,333,13
333,50662,62802,5,직구,146.0,L,0.088372,0.7083,3.442,1.689,-132.378,-5.9087,5.16201,6.24516,50.0,-1.4833,-5.62465,23.2289,-17.7082,2,2,2,5,0,0,HO,334,14
